comment_id,Post_ID,commenter,text
18537930628071196,DWZose4CUA7,C0670,"Would like to have such stories also in German TV as the old stories from. Harnas ""Das Waisenhaus für Tiere"""
18059646206655017,DTGPqHUjOPo,C0876,😍❤️❤️
18110636290729278,DTGPqHUjOPo,C0194,Take off that collar !!
17937379077121400,DTGPqHUjOPo,C0103,❤️
17890145625404058,DTGPqHUjOPo,C0175,The necklace is comfortable???????
17917907358270390,DTGPqHUjOPo,C0167,❤️😍 Beautiful
17991008387925845,DVomlnGjA8A,C1031,♥️🦒🦒🦒🦒🦒🦒🦒♥️♥️♥️🍡🍦🍧🍨🍩🍪🎂🍰🧁🥧🍬🍩🍭🍯
17955966663083463,DVomlnGjA8A,C0633,😍😍😍😍😍
18070543508557360,DVomlnGjA8A,C0770,❤️🦒🦒🦒🦒
17997270464912876,DVomlnGjA8A,C0944,They are so much better than we are.
18086438998957458,DVeTWHdlzyU,C1031,❤️🦒🦒🦒🦒🦒🦒🦒🦒🦒❤️❤️❤️💝
17936575992159896,DVeTWHdlzyU,C0616,😍
17876367384511783,DVeTWHdlzyU,C0770,❤️🦒🦒
18579746602032383,DWjZfpulh0r,C0062,Love the work that you do. So important for Africa’s wildlife
17989383008952265,DWjZfpulh0r,C0735,👏👏👏
17916524046339829,DWjZfpulh0r,C1194,👏 well done!
18013041155681759,DWjZfpulh0r,C0284,💪
18456033091110749,DWjZfpulh0r,C0209,👏
17980540598990642,DV1ejcrjD4w,C0633,😍😍😍😍
18080439812061306,DV1ejcrjD4w,C0321,
17889037716327098,DV1ejcrjD4w,C0753,So beautiful😍
17914615803145665,DV1ejcrjD4w,C0616,😍
18038258534588460,DXLzm_7CPil,C0831,👏👏
18062844323377837,DWHgHlgj4h3,C0535,😍
17874900057437754,DWHgHlgj4h3,C0633,😍😍😍😍😍
18106166236874944,DWHgHlgj4h3,C0616,😍
18029751305772708,DSJ-pEaCZpG,C1175,Thank you for your work and commitment!
18086720920834827,DSJ-pEaCZpG,C1023,I was lucky enough to see rhinos in Namibia❤️ you're doing an amazing job
18100453846747749,DSJ-pEaCZpG,C1182,Keep up the good work 👏🏾
18162455794429518,DRPdL0MjNdg,C0030,Wo bekomme ich dieses Hintergrundbild her ? Ich habe gerade eine Doku gesehen wo die 3 Schwestern zu sehen sind und wollte das unbedingt als Bild/Poster haben .
17860673484478865,DRPdL0MjNdg,C0888,Thank you for the screening of this phenomenal journey at The Dome last night.  I hope and pray that we will be successful in conserving the remaining 12 desert adapted lions 🦁 ❤️
18118315411543602,DRPdL0MjNdg,C0130,Would love to see this at @M0027 in California!
18083502785017337,DRPdL0MjNdg,C0548,I'm waiting to see the film in a cinema in Germany.
17935843359102351,DRPdL0MjNdg,C0906,The granddaughters of the great queen of the desert
18085802852570903,DXr5rGXmV5m,C1026,"Love God Father, love God Holy Spirit and love God Jesus Christ. Love all people. Believe in the gospel of Jesus Christ and you will be spiritually born again into the family of God. The gospel is Jesus Christ died for sins of the world, was buried and rose again from the dead 3 days later. Good works take you to heaven. Be not proud. Fear God. For God is love. Walk in love. Walk in truth. Walk in the spirit. Praise God. Honor God. Give glory to God. I love you God. www.kingjamesbibleonline.org"
18388670074093942,DXr5rGXmV5m,C0848,😍
18051397100738472,DXr5rGXmV5m,C1177,I just Fahlo Cheetah plush in the mail today I’m super happy
18115723435667513,DXr5rGXmV5m,C0196,We can’t wait 🐾
18108000509308733,DXr5rGXmV5m,C0011,❤️❤️❤️
17962622949080530,DXr5rGXmV5m,C1024,"@M0043, you better get ready! :D"
18118527835653222,DW3oE3qFjbF,C0853,❤️
18372086722162029,DW3oE3qFjbF,C0488,Be safe blessings
18572441482047696,DW3oE3qFjbF,C0242,Erm… doesn’t the posting of an anti-poaching K9 dog handler on social media put them at risk?
18063350120361811,DW3oE3qFjbF,C0823,Amazing. I need Marlice’s shirt! ❤️
17888023962466605,DWYsdYrCvaE,C0839,Congrats @M0016-power
18124952434583961,DWYsdYrCvaE,C0596,@M0002 🥳❤️
18089703152467832,DWYsdYrCvaE,C0503,Congratulations @M0023 🎉✨😆
17899538469386740,DUtYO6nDaS4,C0616,😍
17935556559187976,DUtYO6nDaS4,C0321,😍😍😍😍
18127401466517282,DXe7m2rEo4m,C0648,Wish there'd been 85 at least since 1984 at latest in Iran
17902852350418907,DXe7m2rEo4m,C0256,@M0020 your next adventure?
17939383815029700,DXe7m2rEo4m,C0011,❤️❤️❤️
18134708971544513,DXe7m2rEo4m,C0310,❤️
18003821006735023,DXe7m2rEo4m,C1241,Send me this post 💝
18087247145023606,DXe7m2rEo4m,C1051,Cheetah the best! ❤️❤️❤️❤️❤️
18125524276596331,DWZhpaAj9mI,C0535,😍
17976771206842707,DWZhpaAj9mI,C0977,👏👏👏👏👏
17876659899511702,DU-bZq3inWr,C0533,Such a beautiful lily 😍
18082682945240928,DU-bZq3inWr,C0849,I'd love to photograph this one day 😍🙌
18218095861315557,DV6oG8iDJKi,C0321,❤️
18155981989445351,DS2oMpeDIjB,C1100,❤️🔥
18034383053558117,DS2oMpeDIjB,C1199,Splendid 🔥
18325287295223903,DS2oMpeDIjB,C0664,😮
18049467293476060,DS2oMpeDIjB,C0851,😍😍😍
18321553432217001,DS2oMpeDIjB,C0846,😮😍
18436426885111335,DS2oMpeDIjB,C0167,❤️❤️❤️
18497189092076910,DS2oMpeDIjB,C0552,very nice 🔥🔥
18112383592529612,DS2oMpeDIjB,C0237,🔥🔥🔥
18051895994404976,DS2oMpeDIjB,C0930,WOW! Such an encounter!
17871863838481121,DS2oMpeDIjB,C0297,❤️❤️
18063806948226773,DS2oMpeDIjB,C0652,This is insaine!!
18085351685039940,DS2oMpeDIjB,C0224,😮😮😮😮😮😮🐆🐆🐆🐆🐆👌👌👌👌
18089693597297104,DS2oMpeDIjB,C0881,Whoah! 🔥
17869639359421061,DSRtCbRj9Wv,C0092,Wonderful dedication 👏👏👏
18339899731228247,DSRtCbRj9Wv,C0350,You guys do amazing work
18131747485493460,DXxKLyiGcYl,C0611,"It is good to have these pups, and when they are ready, they will become LGDs. 🫶👏"
17980438625838351,DXxKLyiGcYl,C0860,Who doesn’t like waking to a photo of adorable puppies🥰
18113617291805373,DXxKLyiGcYl,C0303,Puppy central!!!
17870333421667023,DXxKLyiGcYl,C0110,😍
18155775337367094,DRNXF-BgS9b,C0914,Fantastic so well done you people are fantastic! ♥️💕💖💞
17997787025839560,DRNXF-BgS9b,C0855,So much beauty ❤️
18119761987679038,DXwfTUBjkcO,C1061,I see she’s coming to Houston but I can’t find where she will be and my son would love to meet her.
18083672279099169,DXwfTUBjkcO,C0632,@M0039 😍
17874136746470611,DXwfTUBjkcO,C0780,Oh I wish she could squeeze in a visit to EATM. Americas Teaching Zoo at Moorpark College.
18086752421591342,DXwfTUBjkcO,C0471,❤️❤️❤️
18017806364832177,DXwfTUBjkcO,C0787,Omg ❤️ my heart 😍
18073798028649882,DXwfTUBjkcO,C1042,Are you coming to St. Louis?
18124386022618098,DXwfTUBjkcO,C0310,❤️
18104095129994793,DXwfTUBjkcO,C0684,🍀🐆🍀🐆🍀🐆
18096542204163680,DXwfTUBjkcO,C0011,❤️❤️❤️
18152259550461790,DXwfTUBjkcO,C0318,I can’t wait to meet all of you
18101840665755754,DWn1ukqCqP6,C1110,How many words?
17927807751258528,DXMHXGjlv3g,C0890,Oh...this is something I'd love to do as well! Such a small but important change to brighten up the kids' days! Love it. ❤️
18113907214816513,DXWIgNFloaI,C0670,Exitied to see you now on german TV❤️
18106326088898746,DXWIgNFloaI,C0273,We enjoy watching Groen Namibia on KykNet in South Africa.
18077089667171308,DXWIgNFloaI,C0220,Wow 😮  Congrats from Germany ❣️❣️👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼
18003198176713219,DVwU7pzDM_m,C0922,Thank you @C1271 for your great work! 😍
18169589716403616,DVwU7pzDM_m,C0321,
17986038908957742,DVwU7pzDM_m,C0264,🥹 great to read this!!
18109558714758515,DVwU7pzDM_m,C0633,👏👏👏👏😍 😍😍😍
18401511562147409,DWUhj7VjtYE,C1095,Well spoken Sir
18047378948531179,DXceVTokb5e,C0689,Hello
18415102738132947,DXceVTokb5e,C0633,😍😍😍😍
18004369628911724,DXceVTokb5e,C0535,😊
18027834101812823,DXbYa58lhWu,C0053,It was an honour to be part of this and I look forward to the updates on their full release into the wild 😍
18114539401748673,DXhn93Tjbxw,C0633,😍😍😍😍
18083171753079902,DXhn93Tjbxw,C0570,Look at those beautiful fuzzy horns and that adorable face!!❤️
17854836927647960,DXhn93Tjbxw,C0425,Iconiquee ❤️
17853199521659493,DXhn93Tjbxw,C0524,😍
18090601261981746,DXhn93Tjbxw,C1044,Prettiest animals to ever exist 😍😍😍
18096275143887489,DXhn93Tjbxw,C0255,😍😍😍
18125089735720447,DXhn93Tjbxw,C0260,A most incredible invaluable and beautiful animal!!!
18002445242865994,DXhn93Tjbxw,C0044,TGIF!! Not a second too soon! 😹💜💜🦒🦒🦒
17995925753766265,DXhn93Tjbxw,C0616,😍
18320913745261789,DXuf7d6EZeD,C0616,😍😍😍
17904892602410504,DXuf7d6EZeD,C0310,❤️
18082223756061307,DWjdIZtjHgI,C0541,Well done WWF for guiding such an important addition to Namibian conservation - benefitting local communities as well as ecosystems. And well done to MEFT for global leadership in nature conservation.
18088339084844130,DRC9C5yCNUK,C1049,Please check my inbox
17865193446509695,DRC9C5yCNUK,C1175,Teamwork like this makes real conservation possible. Well done to everyone involved!
17866730565534700,DXivehMRBFx,C0041,
18001416056853530,DVAe29YCKEl,C0921,Happy World Pangolin Day! 🙌
17964444797908251,DWws0QXjeph,C0321,👏❤️
17974764210001104,DXmxhmVDVZm,C0633,👏👏👏👏😍😍😍😍
17958392292061153,DVF8oQhjpcp,C0350,Stunning pictures!!
18401089072181426,DU_ZzNqDJmc,C1025,Beautiful
18089461169325090,DU_ZzNqDJmc,C1031,♥️🦒🦒🦒🦒🦒🦒🦒♥️♥️♥️♥️🤍
18057947144374116,DU_ZzNqDJmc,C0770,❤️🦒
17878119183474010,DU_ZzNqDJmc,C0321,
18017709893647598,DU_ZzNqDJmc,C0616,😍
17937350385158534,DU_ZzNqDJmc,C0580,😍
17950924905091607,DU_ZzNqDJmc,C1229,Giraffes don't look good short.
18097682113934398,DU_ZzNqDJmc,C0633,😍😍😍😍
17876992596514678,DVjc9hvjaPy,C0770,Beautiful post ❤️🦒
17893414947283435,DVjc9hvjaPy,C0438,😍😍😍😍😍
18002355512905347,DVjc9hvjaPy,C0264,😍 I can't 🥺💛🧡
18117197884624872,DVjc9hvjaPy,C0856,😍😍
17988819140933956,DVRbYULjY8q,C0346,So glad we are able to help through our project www.stormgiraffes.com more donations and contributions to follow 🙏🦒🦒🦒🦒🦒🦒🦒
17942132769133110,DVRbYULjY8q,C0580,😍
18445655272108291,DVMRx8yCMbB,C0770,❤️🦒🦒❤️🦓🦓🦓🦓🦓🦓
18079907069053565,DVMRx8yCMbB,C1031,❤️🦒🦒🦒🦒🦒🦒🦒🦒🦒❤️❤️❤️🏅
17942257449130983,DVMRx8yCMbB,C0437,👏👏good job
18132961945551845,DW5xIWgllJY,C0735,👏👏👏🙌🙌🙌
18067074632409800,DW5xIWgllJY,C0887,💔
18158006371448041,DWmZr1-Ewni,C0321,
18112111576745382,DWmZr1-Ewni,C0381,That’s amazing! 😂
17999172842915027,DWmZr1-Ewni,C1271,Please check the posting date! Happy #AprilFoolsDay
18073493039639582,DWs8j4KATCm,C0670,So wonderful ❣️
18152738044459534,DWs8j4KATCm,C1153,Pragtige Wereld👌
18089651072246532,DWrjZFUDvNu,C0691,Beautiful
18100401601794045,DWrjZFUDvNu,C0535,🥰
18085134275359162,DWrjZFUDvNu,C1132,Beautiful Giraffes 😍
18320896828252129,DWrjZFUDvNu,C0587,Beautiful 😍
18092877659122377,DWrjZFUDvNu,C0321,❤️
17880191823535924,DWrjZFUDvNu,C0616,😍
17898251631306929,DXpWrXrDEJt,C0985,❤️❤️❤️❤️ ditemi dove siete Ke arrivoooooooooooo
18045434882539003,DXpWrXrDEJt,C0803,😢 Que triste que los separan de su madre  y de medio ambiente..que están acostumbrados..son hermanos. 🙌😍 ellos son pura ternura 😍..no hay nada mejor que su habita..
18111505561847599,DXpWrXrDEJt,C0717,❤️❤️❤️
18046007606775043,DXpWrXrDEJt,C1026,"Love God Father, love God Holy Spirit, love God Jesus Christ. Love all people. Believe in the gospel of Jesus Christ and you will be spiritually reborn into the family of God. Jesus Christ died for the sins of the world, was buried and rose again from the dead 3 days later. Good works take you to heaven. Be not proud. Fear God. For God is love. Walk in love. Walk in truth. Walk in the spirit. Praise God. I love you God. www.kingjamesbibleonline.org"
18099223285863212,DXpWrXrDEJt,C0196,Cuteness overload 😍
18118779964646116,DXpWrXrDEJt,C0565,너무예뻐👏👏👏맹수가. 장난감놀이라니😂😂😂😂😂😂
18096253234923497,DXpWrXrDEJt,C0011,❤️❤️❤️
18080043602142155,DXpWrXrDEJt,C0727,😍😍
18013749578849882,DXpWrXrDEJt,C0783,Awwww there so stinking cute!!💗💗💗
18160498096451404,DXpWrXrDEJt,C0459,God bless these angels 😇
18354865093233910,DXpWrXrDEJt,C0854,The perfect job doesn’t exi—
18100488319968585,DXpWrXrDEJt,C0611,Love watching both of them; they're having fun. 🐆🐆🫶
17939293671199801,DXpWrXrDEJt,C0684,🍀🐆🐆🍀
18110383801876053,DXpWrXrDEJt,C0198,So beautiful
17982543344825741,DXpWrXrDEJt,C0094,They are so beautiful 🐆❤️🙏🏼
17910514602399874,DXZhne-jWEN,C0475,可愛い〜❤☺️
17873339436663552,DXZhne-jWEN,C0803,Que triste 😥 que los separen de su madre..ya no podrán estar en su entorno ..su naturaleza..🙌
17887596927489394,DXZhne-jWEN,C0193,Precious ! Thank you for the rescue!
18095494955140995,DXZhne-jWEN,C0820,❤️❤️❤️❤️
18175223212394705,DXZhne-jWEN,C0383,Aí que lindos 🙌❤️
17850323004676631,DXZhne-jWEN,C0648,Wish there'd been 85 at least since 1984 at latest in Iran
18089981806986694,DXZhne-jWEN,C0635,Roar 🐾🫦⚪️💋
18327392413265982,DXZhne-jWEN,C0518,
17974936052865770,DXZhne-jWEN,C0433,💕💕💕💞💞
18070659257650634,DXZhne-jWEN,C0011,❤️❤️❤️
18013452512693205,DXZhne-jWEN,C0066,Precious❤️
18126809242584619,DXZhne-jWEN,C0198,They are perfect 😍😍😍😍
18117208096664549,DXZhne-jWEN,C0783,Oh my goodness there so stinking cute!!💗💗💗💗
17942485749015522,DXZhne-jWEN,C0917,😍😍😍😍
18017115770675305,DXZhne-jWEN,C0999,❤️❤️❤️❤️❤️
18265883005288081,DXca0cil6Mk,C0125,Absolutely amazing ❤️
17885793648491552,DXca0cil6Mk,C0344,I try to educate people as much as possible.  They need to know they need help now more than ever
17894149380448420,DXca0cil6Mk,C0344,We have to save them
17961141062931821,DXca0cil6Mk,C0648,Wish there'd been 1985 at least since 1985 at least since '84 at  latest in Iran
18048288818758913,DXca0cil6Mk,C0684,🍀❤️
18088675682589766,DXca0cil6Mk,C1157,❤️❤️❤️❤️❤️❤️❤️❤️
18083030270526329,DXca0cil6Mk,C0011,❤️❤️❤️
18583529689019201,DXca0cil6Mk,C0571,❤️❤️❤️❤️❤️❤️
18079111760149963,DXca0cil6Mk,C0497,
17890061682492441,DXuRr8pGfJ_,C0032,What a little cutie! That cheetah cub looks so adorable and curious. I'll definitely check out CheetahTV!
18100217495098923,DXuRr8pGfJ_,C1026,"Love God Father, love God Holy Spirit and love God Jesus Christ. Love all people. Believe in the gospel of Jesus Christ and you will be spiritually born again into the family of God. This is the gospel that Jesus Christ died for the sins of the world, was buried and rose again from the dead 3 days later. Good works take you to heaven. Be not proud. Fear God. For God is love. Walk in love. Walk in truth. Walk in the spirit. Honor God. Praise God. Give glory to God. www.kingjamesbibleonline.org"
18081647195566172,DXuRr8pGfJ_,C0803,😍 Una carita muy preciosa 💖 si que hermoso son los bbs Geopardos..😍💋💋
18372808369200010,DXuRr8pGfJ_,C0854,Tuning in! 💛
17853632136660516,DXuRr8pGfJ_,C0011,❤️❤️❤️
18178539361388854,DXuRr8pGfJ_,C0310,❤️
17997420509889196,DUELhjJjd7D,C1031,♥️🦒🦒🦒🦒🦒🦒♥️♥️♥️🙌
18114949576626493,DUELhjJjd7D,C0393,Thank you for all you do as a team and individually for these beautiful animals and our planet 🙏🏻
17964703779010568,DUELhjJjd7D,C0381,You inspire me every day!! Keep standing tall!! 🫶🏽🦒
18101016106842372,DUELhjJjd7D,C0310,❤️
17898091179244408,DT8dIW2iCC3,C0768,❤️
18069633746533067,DT8dIW2iCC3,C0654,👏👏👏👏👏👏👏
18059510342334960,DT8dIW2iCC3,C0405,❤️
18055331813385546,DT8dIW2iCC3,C1132,I love Giraffes 😍
18015802061646065,DT8dIW2iCC3,C0691,❤️❤️❤️❤️❤️❤️
18137728927490497,DT8dIW2iCC3,C1112,Great work GCF! Here’s to another great year. Chuffed to see our pic too!
18331813612243530,DT8dIW2iCC3,C0580,😍
17961464976031455,DT8dIW2iCC3,C0616,🙂
18330357184246814,DT8dIW2iCC3,C0188,😍😍😍😍
18080879063461541,DVEjcvgj1xY,C0028,Giraffe mirabilis
18111619858732891,DVEjcvgj1xY,C1144,How does one access the files to print the giraffe skulls please? @C1271
18125680870493743,DVEjcvgj1xY,C1183,Pretty sure I need a 3D printed giraffe skull in my home as a conversation piece….
18060806060658988,DVEjcvgj1xY,C0239,👏👏👏
18099111305302191,DVEjcvgj1xY,C1067,🤓
17927459574212949,DVEjcvgj1xY,C0633,👏👏👏😍😍😍
18053112902470818,DVEjcvgj1xY,C0953,I wanna see❤️
18009855974828167,DVEjcvgj1xY,C0156,😍😍😍
18087938720515484,DU6QOvFk9xX,C0286,Hok.ruta.bonla.deshe
18102848533850615,DU6QOvFk9xX,C0624,🙌🙌🙌🙌
18153130576440176,DU6QOvFk9xX,C0035,🔥🔥🔥
18012059543822023,DU6QOvFk9xX,C0513,Thank you guys
18440579848128623,DU6QOvFk9xX,C0513,🙌🙌
18400692022182417,DU6QOvFk9xX,C0123,🙌🏼
17905786239358675,DU6QOvFk9xX,C0321,
18090499705877825,DU6QOvFk9xX,C0230,👏
18558845728017490,DU6QOvFk9xX,C1031,♥️🦒🦒🦒🦒🦒🦒🦒♥️♥️♥️♥️🧸
18064149827645149,DUbWq9sk2fR,C0824,They always look so graceful. Perfect weekend energy.
17872609485519633,DUbWq9sk2fR,C0633,😍😍😍
